"row","country","year","poldis","ecdis"
"1","USA",1940,-99,-99
"2","USA",1945,-99,-99
"3","USA",1950,-99,-99
"4","USA",1955,-99,-99
"5","USA",1960,-99,-99
"6","USA",1965,-99,-99
"7","USA",1970,-99,-99
"8","USA",1975,-99,-99
"9","USA",1980,1,1
"10","USA",1985,-99,-99
"11","USA",1986,-99,-99
"12","USA",1987,-99,-99
"13","USA",1988,-99,-99
"14","USA",1989,-99,-99
"15","USA",1990,1,1
"16","USA",1991,1,1
"17","USA",1992,1,1
"18","USA",1993,1,1
"19","USA",1994,1,1
"20","USA",1995,1,1
"21","USA",1996,1,1
"22","USA",1997,1,1
"23","USA",1998,1,1
"24","USA",1999,1,1
"25","USA",2000,1,1
"26","USA",2001,1,1
"27","USA",2002,1,1
"28","USA",2003,1,1
"29","USA",1940,-99,-99
"30","USA",1945,-99,-99
"31","USA",1950,-99,-99
"32","USA",1955,-99,-99
"33","USA",1960,-99,-99
"34","USA",1965,-99,-99
"35","USA",1970,-99,-99
"36","USA",1975,-99,-99
"37","USA",1980,1,2
"38","USA",1985,-99,-99
"39","USA",1986,-99,-99
"40","USA",1987,-99,-99
"41","USA",1988,-99,-99
"42","USA",1989,-99,-99
"43","USA",1990,1,2
"44","USA",1991,1,2
"45","USA",1992,1,2
"46","USA",1993,1,2
"47","USA",1994,1,2
"48","USA",1995,1,2
"49","USA",1996,1,2
"50","USA",1997,1,2
"51","USA",1998,1,2
"52","USA",1999,1,2
"53","USA",2000,1,1
"54","USA",2001,1,1
"55","USA",2002,1,1
"56","USA",2003,1,1
"57","USA",1940,-99,-99
"58","USA",1945,-99,-99
"59","USA",1950,-99,-99
"60","USA",1955,-99,-99
"61","USA",1960,-99,-99
"62","USA",1965,-99,-99
"63","USA",1970,-99,-99
"64","USA",1975,-99,-99
"65","USA",1980,1,1
"66","USA",1985,-99,-99
"67","USA",1986,-99,-99
"68","USA",1987,-99,-99
"69","USA",1988,-99,-99
"70","USA",1989,-99,-99
"71","USA",1990,1,1
"72","USA",1991,1,1
"73","USA",1992,1,1
"74","USA",1993,1,1
"75","USA",1994,1,1
"76","USA",1995,1,1
"77","USA",1996,1,1
"78","USA",1997,1,1
"79","USA",1998,1,1
"80","USA",1999,1,1
"81","USA",2000,1,1
"82","USA",2001,1,1
"83","USA",2002,1,1
"84","USA",2003,1,1
"85","USA",1940,-99,-99
"86","USA",1945,-99,-99
"87","USA",1950,-99,-99
"88","USA",1955,-99,-99
"89","USA",1960,-99,-99
"90","USA",1965,-99,-99
"91","USA",1970,-99,-99
"92","USA",1975,-99,-99
"93","USA",1980,0,3
"94","USA",1985,-99,-99
"95","USA",1986,-99,-99
"96","USA",1987,-99,-99
"97","USA",1988,-99,-99
"98","USA",1989,-99,-99
"99","USA",1990,0,1
"100","USA",1991,0,1
"101","USA",1992,0,1
"102","USA",1993,0,1
"103","USA",1994,0,1
"104","USA",1995,0,1
"105","USA",1996,0,1
"106","USA",1997,0,1
"107","USA",1998,0,1
"108","USA",1999,0,1
"109","USA",2000,0,1
"110","USA",2001,0,1
"111","USA",2002,0,1
"112","USA",2003,0,1
"113","CANADA",1940,-99,-99
"114","CANADA",1945,-99,-99
"115","CANADA",1950,-99,-99
"116","CANADA",1955,-99,-99
"117","CANADA",1960,-99,-99
"118","CANADA",1965,-99,-99
"119","CANADA",1970,-99,-99
"120","CANADA",1975,-99,-99
"121","CANADA",1980,0,0
"122","CANADA",1985,-99,-99
"123","CANADA",1986,-99,-99
"124","CANADA",1987,-99,-99
"125","CANADA",1988,-99,-99
"126","CANADA",1989,-99,-99
"127","CANADA",1990,0,0
"128","CANADA",1991,0,0
"129","CANADA",1992,0,0
"130","CANADA",1993,0,0
"131","CANADA",1994,0,0
"132","CANADA",1995,0,0
"133","CANADA",1996,0,0
"134","CANADA",1997,0,0
"135","CANADA",1998,0,0
"136","CANADA",1999,0,0
"137","CANADA",2000,0,0
"138","CANADA",2001,0,0
"139","CANADA",2002,0,0
"140","CANADA",2003,0,0
"141","CANADA",1940,-99,-99
"142","CANADA",1945,-99,-99
"143","CANADA",1950,-99,-99
"144","CANADA",1955,-99,-99
"145","CANADA",1960,-99,-99
"146","CANADA",1965,-99,-99
"147","CANADA",1970,-99,-99
"148","CANADA",1975,-99,-99
"149","CANADA",1980,0,1
"150","CANADA",1985,-99,-99
"151","CANADA",1986,-99,-99
"152","CANADA",1987,-99,-99
"153","CANADA",1988,-99,-99
"154","CANADA",1989,-99,-99
"155","CANADA",1990,0,1
"156","CANADA",1991,0,1
"157","CANADA",1992,0,1
"158","CANADA",1993,0,1
"159","CANADA",1994,0,1
"160","CANADA",1995,0,1
"161","CANADA",1996,0,1
"162","CANADA",1997,0,1
"163","CANADA",1998,0,1
"164","CANADA",1999,0,1
"165","CANADA",2000,0,1
"166","CANADA",2001,0,1
"167","CANADA",2002,0,1
"168","CANADA",2003,0,1
"169","CANADA",1940,-99,-99
"170","CANADA",1945,-99,-99
"171","CANADA",1950,-99,-99
"172","CANADA",1955,-99,-99
"173","CANADA",1960,-99,-99
"174","CANADA",1965,-99,-99
"175","CANADA",1970,-99,-99
"176","CANADA",1975,-99,-99
"177","CANADA",1980,2,3
"178","CANADA",1985,-99,-99
"179","CANADA",1986,-99,-99
"180","CANADA",1987,-99,-99
"181","CANADA",1988,-99,-99
"182","CANADA",1989,-99,-99
"183","CANADA",1990,2,1
"184","CANADA",1991,1,1
"185","CANADA",1992,1,1
"186","CANADA",1993,1,1
"187","CANADA",1994,1,1
"188","CANADA",1995,1,1
"189","CANADA",1996,1,1
"190","CANADA",1997,1,1
"191","CANADA",1998,1,1
"192","CANADA",1999,1,1
"193","CANADA",2000,1,1
"194","CANADA",2001,1,1
"195","CANADA",2002,1,1
"196","CANADA",2003,1,1
"197","DOMINICAN REP.",1940,-99,-99
"198","DOMINICAN REP.",1945,-99,-99
"199","DOMINICAN REP.",1950,-99,-99
"200","DOMINICAN REP.",1955,-99,-99
"201","DOMINICAN REP.",1960,-99,-99
"202","DOMINICAN REP.",1965,-99,-99
"203","DOMINICAN REP.",1970,-99,-99
"204","DOMINICAN REP.",1975,-99,-99
"205","DOMINICAN REP.",1980,4,4
"206","DOMINICAN REP.",1985,-99,-99
"207","DOMINICAN REP.",1986,-99,-99
"208","DOMINICAN REP.",1987,-99,-99
"209","DOMINICAN REP.",1988,-99,-99
"210","DOMINICAN REP.",1989,-99,-99
"211","DOMINICAN REP.",1990,4,4
"212","DOMINICAN REP.",1991,4,4
"213","DOMINICAN REP.",1992,4,4
"214","DOMINICAN REP.",1993,4,4
"215","DOMINICAN REP.",1994,4,4
"216","DOMINICAN REP.",1995,4,4
"217","DOMINICAN REP.",1996,4,4
"218","DOMINICAN REP.",1997,4,4
"219","DOMINICAN REP.",1998,4,4
"220","DOMINICAN REP.",1999,4,4
"221","DOMINICAN REP.",2000,4,4
"222","DOMINICAN REP.",2001,4,4
"223","DOMINICAN REP.",2002,4,4
"224","DOMINICAN REP.",2003,4,4
"225","MEXICO",1940,-99,-99
"226","MEXICO",1945,-99,-99
"227","MEXICO",1950,-99,-99
"228","MEXICO",1955,-99,-99
"229","MEXICO",1960,-99,-99
"230","MEXICO",1965,-99,-99
"231","MEXICO",1970,-99,-99
"232","MEXICO",1975,-99,-99
"233","MEXICO",1980,3,3
"234","MEXICO",1985,-99,-99
"235","MEXICO",1986,-99,-99
"236","MEXICO",1987,-99,-99
"237","MEXICO",1988,-99,-99
"238","MEXICO",1989,-99,-99
"239","MEXICO",1990,3,3
"240","MEXICO",1991,3,3
"241","MEXICO",1992,3,3
"242","MEXICO",1993,3,3
"243","MEXICO",1994,3,3
"244","MEXICO",1995,3,3
"245","MEXICO",1996,3,3
"246","MEXICO",1997,3,3
"247","MEXICO",1998,3,3
"248","MEXICO",1999,3,3
"249","MEXICO",2000,3,3
