"numcode","VMAR_Group","ccode","country","VMAR_Region","year","GPOP","CPOP","GPRO","LANG","CUSTOM","BELIEF","RELIGS1","RACE","GROUPCON","GC119","GC2","GC6B","GC7","GC10","GC11","AUTLOST","YEARWT","MAGN","PRSTAT","AUTONEND","TRANSYR","SEPX","SEPKIN","EMIG","DISPLACE","POLDIS","ECDIS","CULPO1","CULPO2","GOJPA","AUTON2","AUTGAIN","AUTPRO","LEGISREP","EXECREP","GUARREP","POLGR","ECGR","CULGR","KINSUP","KINMATSUP","KINPOLSUP","KINMILSUP","STASUP","STAMATSUP","STAPOLSUP","STAMILSUP","NSASUP","NSAMATSUP","NSAPOLSUP","NSAMILSUP","INTRACON","FACTCC1","FACTSEV1","FACTCC2","FACTSEV2","FACTCC3","FACTSEV3","INTERCON","CCGROUP1","CCGROUPSEV1","CCGROUP2","CCGROUPSEV2","CCGROUP3","CCGROUPSEV3","PROT","REB","REPGENCIV","REPNVIOL","REPVIOL"
201,"African-Americans",2,"United States of America","Western Democracies and Japan",2004,37771928,292805643,0.129,0,0,0,3,2,2,3,0,0,0,0,3,0.2,5,1,1,"-99","1776",0,0,0,0,1,1,0,0,2,0,-99,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-99",0,"-99","0","-99","0",1,"whites",1,"-99",0,"-99",0,3,0,0,0,0
201,"African-Americans",2,"United States of America","Western Democracies and Japan",2005,38130263,295583436,0.129,0,0,0,3,2,2,3,0,0,0,0,3,0.2,5,1,1,"-99","1776",0,0,0,0,1,1,0,0,2,0,-99,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-99",0,"-99","0","-99","0",1,"whites",3,"-99",0,"-99",0,4,0,0,0,0
201,"African-Americans",2,"United States of America","Western Democracies and Japan",2006,38499072,298442420,0.129,0,0,0,3,2,2,3,0,0,0,0,3,0.2,5,1,1,"-99","1776",0,0,0,0,1,1,0,0,2,0,-99,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-99",0,"-99","0","-99","0",1,"whites",3,"-99",0,"-99",0,3,0,0,0,0
202,"Hispanics",2,"United States of America","Western Democracies and Japan",2004,43920846,292805643,0.15,1,1,1,1,1,2,5,0,0,0,1,3,1,4,3,2,"1912","1912",3,0,0,0,1,1,0,1,2,0,-99,0,1,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"-99",0,"-99","0","-99","0",1,"White Supremacists",3,"Blacks",3,"-99",0,3,0,0,0,0
202,"Hispanics",2,"United States of America","Western Democracies and Japan",2005,44337515,295583436,0.15,1,1,1,1,1,2,5,0,0,0,1,3,1,4,3,2,"1912","1912",3,0,0,0,1,1,0,1,2,0,-99,0,1,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"-99",0,"-99","0","-99","0",1,"White Supremacists",3,"Blacks",3,"-99",0,5,0,0,0,0
202,"Hispanics",2,"United States of America","Western Democracies and Japan",2006,44766363,298442420,0.15,1,1,1,1,1,2,5,0,0,0,1,3,1,4,3,2,"1912","1912",3,0,0,0,1,1,0,1,2,0,-99,0,1,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"-99",0,"-99","0","-99","0",1,"White Supremacists",3,"Blacks",3,"-99",0,5,0,0,0,0
203,"Native Americans",2,"United States of America","Western Democracies and Japan",2004,2928056,292805643,0.01,1,1,-99,-99,2,1,2,0,0,0,1,1,1,5,3,3,"1890","1845",3,1,0,0,1,1,0,0,2,1,1975,-99,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"0","0","0","0",1,"-99",-99,"0",0,"0",0,1,0,0,0,0
203,"Native Americans",2,"United States of America","Western Democracies and Japan",2005,2955834,295583436,0.01,1,1,-99,-99,2,1,2,0,0,0,1,1,1,5,3,3,"1890","1845",3,1,0,0,1,1,0,0,2,1,1975,-99,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"0","0","0","0",1,"-99",-99,"0",0,"0",0,1,0,0,0,0
203,"Native Americans",2,"United States of America","Western Democracies and Japan",2006,2984424,298442420,0.01,1,1,-99,-99,2,1,2,0,0,0,1,1,1,5,3,3,"1890","1845",3,1,0,0,1,1,0,0,2,1,1975,-99,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"0","0","0","0",1,"-99",-99,"0",0,"0",0,1,0,0,0,0
204,"Native Hawaiians",2,"United States of America","Western Democracies and Japan",2004,409928,292805643,0.0014,0,0,0,3,2,2,4,0,0,0,0,0,1,5,3,3,"1898","1898",3,0,0,0,0,1,0,0,2,0,-99,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"0","0","0","0",0,"0",0,"0",0,"0",0,1,0,0,0,0
204,"Native Hawaiians",2,"United States of America","Western Democracies and Japan",2005,413817,295583436,0.0014,0,0,0,3,2,2,4,0,0,0,0,0,1,5,3,3,"1898","1898",3,0,0,0,0,1,0,0,2,0,-99,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"0","0","0","0",0,"0",0,"0",0,"0",0,1,0,0,0,0
204,"Native Hawaiians",2,"United States of America","Western Democracies and Japan",2006,417819,298442420,0.0014,0,0,0,3,2,2,4,0,0,0,0,0,1,5,3,3,"1898","1898",3,0,0,0,0,1,0,0,2,0,-99,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"0","0","0","0",0,"0",0,"0",0,"0",0,1,0,0,0,0
2001,"Quebecois",20,"Canada","Western Democracies and Japan",2004,6407672,32134763,0.1994,1,0,0,1,0,3,5,1,3,3,0,3,0.2,5,0,2,"-99","1867",3,0,0,0,0,0,0,0,2,0,-99,0,1,1,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,3,0,0,0,0
2001,"Quebecois",20,"Canada","Western Democracies and Japan",2005,6396310,32386378,0.1975,1,0,0,1,0,3,5,1,3,3,0,3,0.2,5,0,2,"-99","1867",3,0,0,0,0,0,0,0,2,0,-99,0,1,1,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,3,0,0,0,0
2001,"Quebecois",20,"Canada","Western Democracies and Japan",2006,6384381,32656679,0.1955,1,0,0,1,0,3,5,1,3,3,0,3,0.2,5,0,2,"-99","1867",3,0,0,0,0,0,0,0,2,0,-99,0,1,1,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,3,0,0,0,0
2002,"French Canadians",20,"Canada","Western Democracies and Japan",2004,1413930,32134763,0.044,1,0,0,1,0,2,4,0,0,0,0,3,0,5,1,0,"-99","1867",0,1,0,0,0,1,0,0,2,0,-99,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,0,0,0,0,0
2002,"French Canadians",20,"Canada","Western Democracies and Japan",2005,1425001,32386378,0.044,1,0,0,1,0,2,4,0,0,0,0,3,0,5,1,0,"-99","1867",0,1,0,0,0,1,0,0,2,0,-99,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,0,0,0,0,0
2002,"French Canadians",20,"Canada","Western Democracies and Japan",2006,1436894,32656679,0.044,1,0,0,1,0,2,4,0,0,0,0,3,0,5,1,0,"-99","1867",0,1,0,0,0,1,0,0,2,0,-99,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,0,0,0,0,0
2003,"Indigenous Peoples",20,"Canada","Western Democracies and Japan",2004,867639,32134763,0.027,1,1,1,3,2,0,3,0,0,0,1,1,1,5,3,3,"1880","1867",3,1,0,0,1,1,0,0,2,1,1999,-99,1,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","0","","0",1,"Non-Natives",-99,"",0,"",0,3,0,0,0,0
2003,"Indigenous Peoples",20,"Canada","Western Democracies and Japan",2005,874432,32386378,0.027,1,1,1,3,2,0,3,0,0,0,1,1,1,5,3,3,"1880","1867",3,1,0,0,1,1,0,0,2,1,1999,-99,1,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","0","","0",1,"Non-Natives",-99,"",0,"",0,3,0,0,3,0
