"","sftgcode","year","byregn2","group","sftgname","feanctig","sftptv2a","sftpcons","ethherf","relhrel","disp4cat","sftpdur2","floil","maccat","logim","logtpop","logmtn","anocracy","democracy","log_gdpc","miss_ind","glb_ind","cwar_ind","reg_ind","sample"
"1","AFG",1957,5,1,"Afghanistan",0,"Full autocracy",0,0.361777573823929,0.616317629814148,0,0,0,0,0.66001683473587,9.10653400421143,4.19870471954346,0,0,5.03043794631958,0,"Y","","Y",1
"2","AFG",1962,5,1,"Afghanistan",0,"Full autocracy",0,0.361777573823929,0.616317629814148,0,0,0,0,0.618345975875854,9.21542739868164,4.19870471954346,0,0,5.17614984512329,0,"Y","Y","",1
"3","AFG",1970,5,1,"Afghanistan",0,"Full autocracy",0,0.361777573823929,0.616317629814148,0,0,0,0,0.61780196428299,9.40071296691895,4.19870471954346,0,0,5.48063898086548,0,"Y","Y","",1
"4","AFG",1978,5,1,"Afghanistan",0,"Full autocracy",1,0.391428232192993,0.616317629814148,0,0,0,0,0.805741012096405,9.5923318862915,4.19870471954346,0,0,5.92958927154541,0,"Y","Y","",1
"5","ALB",1963,3,1,"Albania",0,"Full autocracy",0,0.904293417930603,0.346206724643707,0,0,0,0,0.0184569004923105,7.41517496109009,2.27052330970764,0,0,6.20657587051392,0,"Y","Y","",1
"6","ALB",1967,3,1,"Albania",0,"Full autocracy",0,0.904293417930603,0.346206724643707,0,0,0,0,0.232254609465599,7.53369379043579,2.27052330970764,0,0,6.26530122756958,0,"Y","","Y",1
"7","ALB",1996,3,1,"Albania",0,"Partial democracy with factionalism",1,0.903512001037598,0.346206724643707,1,1,0,0,0.641530930995941,8.07620429992676,2.27052330970764,1,0,7.8299446105957,0,"Y","","Y",1
"8","ALG",1970,5,1,"Algeria",0,"Full autocracy",0,0.714222729206085,0.980191230773926,1,0,1,0,0.164465397596359,9.46838760375977,2.81540870666504,0,0,6.5872745513916,0,"Y","Y","",1
"9","ALG",1980,5,1,"Algeria",0,"Full autocracy",0,0.714222729206085,0.980191230773926,1,0,1,0,0.158034175634384,9.77525615692139,2.81540870666504,0,0,7.78579139709473,0,"Y","Y","",1
"10","ALG",1986,5,1,"Algeria",0,"Full autocracy",0,0.714154183864594,0.980191230773926,1,0,1,0,0.247241109609604,9.96387672424316,2.81540870666504,0,0,8.51276779174805,0,"Y","Y","",1
"11","ALG",1991,5,1,"Algeria",0,"Partial autocracy",1,0.714154183864594,0.980191230773926,1,1,1,0,0.162418723106384,10.1025428771973,2.81540870666504,1,0,8.45148277282715,0,"Y","Y","",1
"12","ARG",1966,4,1,"Argentina",0,"Partial autocracy",1,0.61763197183609,0.897271513938904,1,0,0,0,-0.612385809421539,9.99670505523682,3.38099455833435,1,0,7.52054357528687,0,"Y","","Y",1
"13","ARG",1976,4,1,"Argentina",0,"Partial democracy with factionalism",1,0.633647561073303,0.854510903358459,1,1,0,0,-0.506940543651581,10.1513624191284,3.38099455833435,0,1,8.23126125335693,0,"Y","","",1
"14","ARG",1984,4,1,"Argentina",0,"Full autocracy",0,0.619625151157379,0.81040745973587,1,0,0,0,-0.73584657907486,10.2737741470337,3.38099455833435,0,0,8.70226955413818,0,"Y","Y","",1
"15","ARG",1999,4,1,"Argentina",0,"Partial democracy without factionalism",0,0.655799984931946,0.75464802980423,0,0,0,0,-0.614125192165375,10.4825973510742,3.38099455833435,0,1,9.35402393341064,0,"Y","","Y",1
"16","ARM",1995,3,1,"Armenia",0,"Partial democracy without factionalism",1,0.872535228729248,0.484715968370438,0,0,0,1,-0.299854308366776,8.14293575286865,2.80556464195251,0,1,7.80363512039185,0,"Y","","Y",1
"17","AUL",1958,2,1,"Australia",1,"Full democracy",0,0.992379248142242,0.524820685386658,1,0,0,0,-1.51071178913116,9.14974117279053,1.13140213489532,0,1,7.67146348953247,0,"Y","","Y",1
